"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"TerminalBlock_Pheonix_MKDS1.5-2pol";1;"12VIN";;;
2;"J8";"IDC_Header_Straight_10pins";1;"Motor2";;;
3;"J3";"IDC_Header_Straight_10pins";1;"Motor1";;;
4;"R2,R1,R7,R9,R10";"R_0603_HandSoldering";5;"10k";;;
5;"U1";"SOT-223";1;"LM1117-3.3";;;
6;"C1,C2,C3,C6,C7";"C_0603_HandSoldering";5;"0.1";;;
7;"C8,C9";"C_0805_HandSoldering";2;"1u";;;
8;"C10,C11";"CP_Radial_D8.0mm_P3.50mm";2;"100u";;;
9;"D1";"SOT-23";1;"SP0502BAHT";;;
10;"D2,D3";"D_0805";2;"MM3Z3V6";;;
11;"D4";"SOT-23-5_HandSoldering";1;"SP0504BAHT";;;
12;"J1";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"UART";;;
13;"J4,J5";"Pin_Header_Straight_1x08_Pitch2.54mm";2;"DRV_left";;;
14;"J6,J7";"Pin_Header_Straight_1x08_Pitch2.54mm";2;"DRV_right";;;
15;"P1,P2,P3,P4,P5,P6";"Hole_3mm";6;"Hole";;;
16;"Q1";"SOT-23_Handsoldering";1;"AO3401";;;
17;"R5";"R_0805_HandSoldering";1;"2k2";;;
18;"R6";"R_0603_HandSoldering";1;"1k5";;;
19;"R16,R17,R18,R19,R20,R21";"R_0603_HandSoldering";6;"0";;;
20;"U2";"SO-8_5.3x6.2mm_Pitch1.27mm";1;"MAX471";;;
21;"U3";"TSSOP-20_4.4x6.5mm_Pitch0.65mm";1;"STM32F030F4Px";;;
22;"C4";"CP_Tantalum_Case-A_EIA-3216-18_Hand";1;"47u";;;
23;"R8,R23,R24,R25,R26";"R_0603_HandSoldering";5;"47k";;;
24;"R3,R4";"R_0603_HandSoldering";2;"470";;;
25;"R11,R14";"R_0603_HandSoldering";2;"47";;;
26;"R12,R13,R15,R22";"R_0603_HandSoldering";4;"220";;;
27;"R27";"R_0805_HandSoldering";1;"0";;;
28;"SW1";"SW_SPST_EVQPE1";1;"Reset";;;
29;"SW2";"SW_SPST_EVQPE1";1;"Boot";;;
